department,time_of_day,day_of_week,number_of_patients,doctor_count,emergency_cases,waiting_time_minutes
Emergency,22,Monday,58,9,9,209
Pediatrics,15,Tuesday,38,3,12,248
Orthopedics,0,Monday,32,2,0,105
Orthopedics,21,Sunday,54,5,9,200
General Medicine,1,Tuesday,6,9,11,218
Orthopedics,2,Tuesday,98,6,16,397
Neurology,20,Sunday,30,8,13,223
Pediatrics,19,Sunday,55,8,4,105
Orthopedics,16,Wednesday,51,7,18,321
General Medicine,19,Friday,30,5,4,98
Neurology,21,Monday,88,2,14,442
Cardiology,20,Friday,96,5,12,287
Cardiology,0,Thursday,88,7,16,371
Neurology,19,Wednesday,79,7,0,69
General Medicine,5,Wednesday,78,2,13,467
Neurology,14,Thursday,65,7,3,106
Pediatrics,13,Monday,27,6,8,146
Pediatrics,19,Saturday,41,7,16,278
Cardiology,14,Thursday,45,8,2,72
Orthopedics,13,Monday,56,4,12,257
General Medicine,20,Tuesday,87,1,11,600
Cardiology,23,Sunday,86,8,15,351
Orthopedics,4,Wednesday,53,8,3,116
Orthopedics,5,Monday,31,3,17,379
Pediatrics,16,Friday,10,3,2,57
Emergency,10,Sunday,78,5,16,328
Emergency,15,Friday,70,3,0,125
Neurology,11,Sunday,28,5,18,301
Pediatrics,14,Wednesday,42,8,3,75
Orthopedics,22,Thursday,32,1,16,491
General Medicine,3,Saturday,32,2,6,218
Emergency,17,Thursday,70,2,1,206
Orthopedics,20,Monday,65,4,11,255
Emergency,2,Thursday,50,9,4,126
Emergency,21,Wednesday,73,2,15,411
Emergency,7,Monday,79,9,7,159
General Medicine,22,Tuesday,78,7,7,203
Pediatrics,2,Thursday,47,8,12,255
General Medicine,7,Thursday,63,1,13,511
Cardiology,17,Saturday,6,5,10,163
Orthopedics,9,Monday,19,9,5,93
Pediatrics,19,Friday,41,4,15,281
Pediatrics,16,Thursday,75,2,14,411
Pediatrics,7,Wednesday,24,6,15,252
Pediatrics,22,Thursday,39,2,12,339
General Medicine,10,Saturday,38,3,11,237
Pediatrics,4,Tuesday,90,8,17,381
Neurology,12,Saturday,35,3,17,331
Orthopedics,20,Thursday,91,2,13,430
Pediatrics,22,Friday,23,6,1,47
Orthopedics,4,Sunday,72,3,1,183
Neurology,23,Thursday,28,1,2,220
Neurology,12,Monday,88,3,7,262
Orthopedics,5,Thursday,43,6,10,230
Emergency,4,Friday,96,3,11,406
Cardiology,8,Monday,58,9,3,79
Emergency,15,Wednesday,43,7,8,164
Emergency,1,Monday,21,5,16,326
General Medicine,0,Saturday,23,2,15,356
Emergency,7,Tuesday,52,9,16,267
Pediatrics,18,Saturday,39,5,14,254
General Medicine,10,Sunday,36,7,19,315
General Medicine,11,Monday,51,9,6,122
Neurology,11,Wednesday,51,4,9,210
Emergency,6,Thursday,68,9,3,91
Neurology,12,Monday,50,1,13,450
Orthopedics,7,Saturday,39,6,13,231
Cardiology,21,Monday,98,2,13,445
General Medicine,8,Monday,21,8,13,222
Orthopedics,6,Monday,46,5,19,340
Orthopedics,20,Wednesday,33,3,17,324
Pediatrics,23,Friday,74,2,14,501
Cardiology,14,Friday,21,8,18,293
Orthopedics,1,Monday,85,7,12,292
Orthopedics,22,Wednesday,18,9,11,221
Cardiology,19,Wednesday,28,8,18,306
Cardiology,11,Sunday,61,4,18,361
Orthopedics,0,Monday,54,2,19,512
Cardiology,22,Saturday,61,2,1,211
Orthopedics,21,Saturday,65,2,2,206
Orthopedics,7,Tuesday,43,6,9,183
Pediatrics,4,Monday,59,7,4,139
Emergency,14,Tuesday,40,6,11,207
Orthopedics,0,Saturday,41,2,6,245
Neurology,0,Saturday,18,4,8,181
General Medicine,9,Monday,31,3,1,83
Emergency,21,Tuesday,87,4,9,246
Emergency,9,Tuesday,35,5,5,112
Emergency,20,Monday,77,7,11,226
Pediatrics,14,Sunday,85,9,5,128
Orthopedics,16,Tuesday,87,2,2,249
Pediatrics,21,Sunday,48,8,9,166
Orthopedics,5,Thursday,72,3,8,306
Pediatrics,2,Saturday,52,9,19,387
Pediatrics,12,Friday,61,4,4,145
General Medicine,15,Sunday,79,3,2,171
Neurology,7,Sunday,26,6,4,99
Pediatrics,14,Sunday,8,9,7,120
General Medicine,16,Wednesday,85,7,7,175
Cardiology,16,Tuesday,76,4,13,296
Neurology,21,Tuesday,50,3,16,336
Pediatrics,12,Wednesday,63,4,10,238
Emergency,16,Tuesday,38,3,15,306
Cardiology,5,Wednesday,15,3,5,131
Cardiology,16,Sunday,35,9,10,184
General Medicine,15,Monday,15,4,9,160
Cardiology,13,Thursday,60,9,8,159
Neurology,12,Sunday,42,5,14,252
Pediatrics,5,Thursday,25,7,6,146
Pediatrics,2,Saturday,98,5,17,435
Emergency,13,Sunday,14,1,0,83
General Medicine,13,Friday,30,2,14,303
Emergency,14,Tuesday,95,5,1,115
Cardiology,7,Friday,12,6,1,30
Emergency,14,Monday,12,7,9,149
Neurology,21,Thursday,64,2,19,444
Pediatrics,12,Sunday,76,9,14,261
Cardiology,16,Monday,38,6,9,181
Emergency,20,Monday,20,2,18,330
General Medicine,23,Tuesday,17,2,12,269
Neurology,2,Monday,91,3,10,371
Neurology,5,Sunday,80,1,1,510
Emergency,4,Sunday,95,9,12,297
Pediatrics,21,Thursday,26,4,0,46
Emergency,16,Sunday,31,5,4,99
Cardiology,22,Friday,68,7,6,176
Emergency,1,Thursday,6,1,12,267
Neurology,14,Tuesday,30,3,12,237
Emergency,4,Thursday,96,3,19,551
Pediatrics,19,Wednesday,87,2,5,299
General Medicine,5,Friday,73,8,19,418
Orthopedics,5,Wednesday,88,5,11,317
Emergency,17,Wednesday,34,1,7,275
Pediatrics,17,Saturday,12,2,8,163
Pediatrics,3,Sunday,42,1,17,571
General Medicine,16,Tuesday,65,6,10,216
Neurology,13,Monday,85,9,19,353
Pediatrics,13,Wednesday,69,7,10,207
Pediatrics,12,Thursday,71,5,14,283
Pediatrics,6,Monday,50,3,8,219
Pediatrics,11,Thursday,94,8,2,89
Cardiology,22,Thursday,99,4,16,444
Cardiology,14,Monday,76,9,16,292
Neurology,18,Monday,47,5,2,82
Emergency,10,Sunday,63,6,18,332
Pediatrics,14,Thursday,50,5,8,179
General Medicine,11,Tuesday,76,7,16,311
Emergency,2,Sunday,39,7,17,336
General Medicine,16,Friday,43,1,14,435
Emergency,2,Saturday,96,2,0,294
Neurology,18,Friday,55,7,9,181
Pediatrics,19,Tuesday,8,8,7,123
Pediatrics,3,Sunday,84,4,9,303
Orthopedics,2,Saturday,81,6,1,113
General Medicine,15,Sunday,88,3,18,420
Emergency,11,Monday,55,7,13,250
Emergency,7,Saturday,9,3,7,125
Cardiology,23,Thursday,59,7,18,394
Orthopedics,16,Friday,24,8,0,21
Cardiology,6,Saturday,28,3,15,286
Cardiology,10,Thursday,40,2,14,320
Cardiology,17,Sunday,38,6,19,318
General Medicine,0,Tuesday,58,4,4,168
General Medicine,2,Saturday,38,8,2,86
Neurology,3,Thursday,87,2,16,565
Neurology,12,Sunday,21,4,9,169
Cardiology,5,Sunday,9,2,4,118
Orthopedics,13,Sunday,93,2,10,393
Emergency,4,Tuesday,22,2,5,177
General Medicine,15,Monday,59,1,3,349
Orthopedics,14,Tuesday,57,4,6,169
Pediatrics,14,Tuesday,54,2,18,419
General Medicine,3,Friday,76,9,6,172
General Medicine,7,Sunday,95,9,13,260
Neurology,15,Thursday,83,7,16,304
Emergency,15,Saturday,49,6,16,296
Emergency,3,Friday,17,3,12,267
Pediatrics,12,Sunday,20,7,0,31
Pediatrics,12,Wednesday,90,1,1,468
General Medicine,1,Tuesday,88,9,17,369
Cardiology,2,Wednesday,17,4,3,87
Neurology,21,Sunday,24,6,12,208
Neurology,7,Friday,70,6,0,61
General Medicine,23,Thursday,51,3,3,171
Orthopedics,14,Friday,23,4,1,51
Cardiology,10,Thursday,49,3,3,142
General Medicine,8,Thursday,41,6,15,279
Cardiology,6,Sunday,58,1,3,342
Cardiology,12,Monday,10,8,8,132
Cardiology,1,Sunday,18,8,16,317
General Medicine,7,Tuesday,8,9,19,299
Neurology,6,Friday,90,6,1,101
Neurology,23,Thursday,59,1,2,409
Cardiology,11,Sunday,38,3,14,281
Orthopedics,18,Sunday,31,1,6,249
Emergency,6,Friday,11,5,3,59
General Medicine,9,Friday,7,3,11,185
Emergency,15,Thursday,51,2,0,135
Orthopedics,2,Saturday,6,3,16,317
General Medicine,9,Wednesday,84,9,3,108
Cardiology,5,Tuesday,29,8,3,96
Neurology,17,Tuesday,64,3,8,233
Emergency,17,Saturday,83,2,9,348
Pediatrics,4,Monday,28,5,18,358
Pediatrics,20,Saturday,19,1,18,375
Orthopedics,6,Monday,99,4,14,348
Cardiology,1,Monday,18,8,16,309
Emergency,10,Saturday,58,1,6,382
Cardiology,12,Tuesday,82,5,2,131
Emergency,22,Wednesday,10,4,4,94
Orthopedics,4,Tuesday,82,6,15,363
Orthopedics,5,Sunday,85,7,6,190
Pediatrics,23,Tuesday,22,9,15,288
Cardiology,13,Tuesday,24,1,8,254
General Medicine,11,Saturday,66,4,0,83
Pediatrics,3,Saturday,85,6,2,139
Cardiology,22,Sunday,84,7,7,211
Pediatrics,5,Sunday,44,7,17,354
General Medicine,9,Saturday,43,8,17,290
Neurology,17,Tuesday,56,8,18,317
Neurology,14,Wednesday,36,8,6,119
Neurology,7,Monday,77,8,19,344
Neurology,8,Friday,31,8,5,99
Emergency,4,Monday,56,6,10,235
Neurology,9,Sunday,67,9,4,110
General Medicine,19,Sunday,78,3,11,317
Orthopedics,5,Monday,67,6,0,82
Orthopedics,15,Friday,21,5,18,300
Emergency,23,Tuesday,53,8,10,229
Neurology,2,Wednesday,85,4,14,389
Neurology,9,Wednesday,86,4,15,340
Neurology,10,Monday,27,5,2,67
Pediatrics,10,Friday,76,6,10,211
Cardiology,16,Sunday,17,4,10,168
Pediatrics,3,Thursday,27,2,9,257
Cardiology,3,Tuesday,61,2,1,211
Neurology,16,Monday,66,3,19,400
Neurology,8,Wednesday,58,2,4,209
Pediatrics,18,Sunday,24,1,7,232
Pediatrics,4,Saturday,90,8,12,292
Cardiology,21,Saturday,56,5,14,283
Orthopedics,23,Friday,27,1,1,185
Cardiology,5,Friday,39,9,11,240
Pediatrics,2,Monday,71,8,7,194
General Medicine,21,Thursday,38,4,18,326
Pediatrics,0,Wednesday,37,8,0,44
General Medicine,19,Monday,50,7,7,152
Emergency,21,Thursday,85,7,9,199
Pediatrics,15,Sunday,49,1,12,432
Emergency,22,Friday,23,6,4,109
Orthopedics,10,Saturday,98,4,8,249
Cardiology,12,Tuesday,91,2,9,375
General Medicine,9,Sunday,19,7,13,224
Cardiology,2,Saturday,82,9,10,246
Emergency,8,Wednesday,70,5,13,271
General Medicine,11,Wednesday,43,8,2,63
Cardiology,22,Saturday,22,5,15,306
Pediatrics,13,Sunday,74,7,19,345
Neurology,0,Saturday,63,7,16,359
Emergency,17,Thursday,36,9,4,87
Cardiology,16,Monday,25,3,6,140
Emergency,8,Friday,44,1,16,473
Emergency,8,Thursday,96,2,19,533
General Medicine,22,Tuesday,31,6,10,220
General Medicine,9,Saturday,6,9,11,182
Neurology,18,Tuesday,84,3,1,170
Pediatrics,14,Tuesday,43,2,18,387
Emergency,4,Thursday,90,1,4,600
Cardiology,14,Friday,60,2,10,310
Orthopedics,19,Sunday,17,3,18,312
Emergency,22,Wednesday,60,7,6,183
Emergency,1,Monday,70,2,5,308
Neurology,12,Wednesday,82,5,10,239
Pediatrics,23,Friday,60,2,13,430
Orthopedics,15,Wednesday,32,7,3,77
General Medicine,14,Saturday,68,8,7,152
General Medicine,9,Saturday,75,8,8,175
Cardiology,13,Thursday,86,8,1,71
Orthopedics,9,Tuesday,68,9,10,197
General Medicine,13,Friday,60,1,19,595
Cardiology,22,Friday,45,1,6,396
Pediatrics,8,Wednesday,45,2,3,173
Cardiology,13,Thursday,8,6,13,210
General Medicine,2,Wednesday,61,1,0,390
Neurology,19,Wednesday,34,5,11,203
Neurology,15,Friday,92,5,18,364
Neurology,1,Wednesday,88,4,4,208
General Medicine,9,Tuesday,50,5,7,159
Neurology,2,Wednesday,60,1,10,556
Orthopedics,10,Tuesday,35,6,3,92
Pediatrics,10,Friday,92,7,14,294
Cardiology,20,Thursday,11,8,19,292
Cardiology,20,Saturday,94,2,11,414
General Medicine,21,Tuesday,81,7,19,360
Neurology,12,Thursday,58,6,9,198
Neurology,6,Thursday,12,9,15,238
Emergency,22,Tuesday,59,8,7,183
Pediatrics,16,Friday,73,4,19,381
Orthopedics,1,Monday,48,9,7,174
Cardiology,11,Thursday,17,1,5,162
Emergency,9,Thursday,97,6,2,124
Emergency,17,Friday,24,8,7,126
General Medicine,21,Friday,82,4,9,249
Cardiology,10,Wednesday,36,2,4,158
General Medicine,15,Friday,64,2,10,318
Orthopedics,16,Thursday,54,1,3,329
Emergency,18,Tuesday,31,5,16,288
Emergency,17,Monday,29,6,2,59
Pediatrics,2,Sunday,56,4,17,403
Orthopedics,20,Wednesday,72,4,7,199
Emergency,15,Sunday,25,5,11,197
Orthopedics,5,Tuesday,22,5,15,304
Cardiology,11,Monday,43,9,13,222
Neurology,10,Monday,19,8,15,252
Emergency,14,Monday,57,9,3,87
Pediatrics,14,Saturday,42,3,0,77
Cardiology,15,Tuesday,52,3,0,96
Orthopedics,9,Wednesday,56,1,14,505
General Medicine,11,Wednesday,92,6,19,376
Cardiology,12,Monday,76,4,19,392
Emergency,3,Tuesday,32,8,2,67
Orthopedics,6,Saturday,89,2,13,428
Neurology,21,Monday,20,2,8,174
Cardiology,1,Friday,20,7,18,352
Emergency,14,Sunday,39,5,7,158
Pediatrics,7,Wednesday,21,1,1,135
General Medicine,6,Sunday,77,7,3,106
Orthopedics,14,Thursday,56,7,0,54
Cardiology,22,Monday,97,6,10,292
Cardiology,13,Friday,86,4,4,176
Neurology,7,Wednesday,16,8,1,38
Neurology,11,Sunday,87,2,12,413
Pediatrics,12,Saturday,52,2,16,384
General Medicine,10,Tuesday,26,2,16,309
Pediatrics,16,Wednesday,53,3,17,351
Emergency,16,Sunday,56,6,8,178
Emergency,23,Tuesday,83,1,5,595
Pediatrics,3,Sunday,5,2,19,378
General Medicine,20,Tuesday,70,2,2,216
Pediatrics,7,Saturday,68,1,7,452
General Medicine,4,Saturday,12,3,2,68
General Medicine,15,Monday,90,7,0,70
Orthopedics,3,Monday,29,1,19,532
General Medicine,21,Wednesday,70,7,12,244
Neurology,14,Saturday,77,5,4,143
General Medicine,11,Friday,77,9,15,285
General Medicine,4,Sunday,81,2,15,522
General Medicine,22,Sunday,74,1,11,600
Emergency,15,Sunday,98,9,12,246
Neurology,13,Wednesday,83,8,3,100
Neurology,9,Sunday,55,6,8,169
Pediatrics,6,Thursday,57,5,15,287
Orthopedics,12,Tuesday,19,8,0,17
General Medicine,19,Sunday,54,8,4,107
Cardiology,4,Tuesday,75,5,4,166
Orthopedics,2,Monday,79,7,18,405
Orthopedics,14,Sunday,42,1,8,344
Neurology,3,Friday,44,4,7,212
Orthopedics,14,Saturday,70,2,18,452
General Medicine,13,Saturday,43,3,17,334
General Medicine,19,Monday,78,1,14,600
Emergency,18,Thursday,21,2,3,114
General Medicine,12,Wednesday,11,1,14,273
General Medicine,9,Wednesday,43,8,12,222
Neurology,20,Friday,72,4,17,356
General Medicine,4,Monday,39,3,19,432
Emergency,22,Monday,55,1,4,428
Cardiology,19,Thursday,51,2,17,397
Neurology,19,Sunday,40,3,7,191
Cardiology,5,Wednesday,68,3,0,141
Neurology,3,Sunday,99,6,18,445
Pediatrics,1,Monday,93,8,16,368
Orthopedics,21,Sunday,17,6,1,38
Pediatrics,15,Saturday,22,2,18,336
General Medicine,17,Friday,25,2,15,300
Cardiology,4,Wednesday,69,7,17,383
General Medicine,21,Thursday,12,1,1,89
Orthopedics,3,Friday,52,1,5,410
Neurology,12,Tuesday,89,7,6,158
Orthopedics,18,Saturday,47,9,5,110
Emergency,22,Thursday,57,5,5,170
Orthopedics,1,Friday,89,1,8,600
Emergency,12,Monday,31,5,7,152
Orthopedics,10,Tuesday,23,1,8,245
Emergency,21,Thursday,27,9,11,203
Cardiology,3,Monday,54,4,17,407
General Medicine,21,Saturday,55,9,5,114
General Medicine,19,Tuesday,47,2,3,163
Pediatrics,19,Wednesday,55,7,6,151
General Medicine,14,Monday,73,2,17,446
Neurology,3,Friday,45,4,19,427
Orthopedics,8,Sunday,76,6,4,129
Pediatrics,6,Thursday,15,2,17,310
Neurology,18,Tuesday,84,2,9,359
Neurology,18,Monday,92,2,7,339
Emergency,5,Wednesday,89,3,0,178
General Medicine,5,Sunday,56,5,14,332
Cardiology,19,Thursday,27,9,2,57
Cardiology,14,Thursday,53,6,14,267
Pediatrics,14,Monday,42,9,13,224
Cardiology,19,Wednesday,51,5,0,57
Orthopedics,8,Saturday,76,6,7,168
Cardiology,3,Sunday,11,8,6,124
Pediatrics,17,Saturday,70,3,8,238
Cardiology,17,Tuesday,98,2,17,506
Orthopedics,4,Monday,81,3,11,373
Emergency,19,Sunday,66,9,7,153
Pediatrics,22,Tuesday,91,6,7,224
Emergency,10,Saturday,33,4,5,127
Emergency,4,Sunday,42,3,2,140
Emergency,21,Thursday,88,2,1,243
Neurology,3,Tuesday,37,4,13,293
General Medicine,11,Wednesday,33,9,7,137
Neurology,1,Friday,83,4,5,233
General Medicine,12,Saturday,27,5,3,78
Emergency,9,Saturday,7,8,4,70
Pediatrics,8,Wednesday,97,2,12,422
General Medicine,9,Sunday,49,3,8,209
Orthopedics,6,Sunday,12,6,12,195
Orthopedics,3,Sunday,90,7,8,224
Cardiology,18,Tuesday,33,4,15,274
General Medicine,9,Monday,6,1,11,204
Pediatrics,2,Thursday,54,7,1,75
Neurology,20,Friday,69,9,18,316
Emergency,18,Monday,24,1,15,362
Cardiology,20,Monday,56,1,12,471
Orthopedics,1,Wednesday,89,1,4,600
Neurology,19,Tuesday,41,7,5,123
Neurology,9,Saturday,76,9,16,297
Emergency,1,Saturday,31,3,16,360
General Medicine,1,Wednesday,51,8,16,327
Orthopedics,23,Tuesday,10,9,2,52
Pediatrics,16,Wednesday,64,3,12,303
Neurology,15,Saturday,49,3,11,261
Emergency,15,Monday,48,1,5,323
Pediatrics,13,Thursday,87,2,12,407
General Medicine,6,Sunday,22,7,13,221
Orthopedics,20,Tuesday,69,3,6,211
General Medicine,10,Friday,29,7,4,87
Neurology,23,Friday,31,5,13,279
Pediatrics,0,Monday,11,8,17,329
Pediatrics,10,Wednesday,48,5,3,97
Pediatrics,22,Wednesday,33,3,0,86
Neurology,20,Saturday,99,9,6,154
Neurology,3,Monday,48,7,19,388
General Medicine,6,Saturday,40,5,12,235
Cardiology,14,Saturday,23,7,3,78
General Medicine,17,Friday,10,9,12,211
Orthopedics,11,Saturday,29,5,3,90
Emergency,16,Sunday,35,7,2,60
Pediatrics,0,Saturday,13,9,7,147
Cardiology,10,Friday,88,1,19,600
Emergency,0,Sunday,78,4,7,250
Cardiology,14,Wednesday,41,1,16,448
General Medicine,20,Tuesday,31,8,14,237
Neurology,9,Thursday,17,3,3,78
Pediatrics,6,Saturday,45,2,5,194
General Medicine,1,Sunday,70,4,5,203
Emergency,9,Tuesday,89,3,9,296
Emergency,23,Friday,28,5,3,91
Emergency,3,Tuesday,48,8,8,192
Emergency,11,Thursday,64,8,15,271
Emergency,18,Tuesday,13,7,6,112
Cardiology,10,Sunday,6,8,13,212
General Medicine,7,Tuesday,60,5,5,149
Pediatrics,17,Tuesday,34,6,0,42
Neurology,10,Tuesday,26,8,17,278
Neurology,10,Monday,79,1,11,569
General Medicine,12,Saturday,85,6,14,298
General Medicine,2,Friday,17,6,0,31
Neurology,11,Thursday,75,5,14,299
Neurology,2,Friday,20,4,14,286
Cardiology,9,Monday,49,1,15,484
Orthopedics,16,Monday,69,8,0,43
Pediatrics,21,Sunday,15,6,2,44
Emergency,1,Monday,74,3,11,352
Orthopedics,16,Saturday,24,3,6,142
General Medicine,15,Monday,67,6,4,128
Neurology,1,Tuesday,94,7,0,87
Orthopedics,21,Friday,16,8,0,10
Pediatrics,19,Wednesday,66,5,14,290
General Medicine,5,Thursday,98,6,7,239
Emergency,9,Monday,96,1,10,600
Emergency,9,Friday,95,6,13,293
Pediatrics,7,Sunday,46,9,12,216
Pediatrics,0,Monday,87,4,18,460
Neurology,12,Saturday,73,1,11,546
Emergency,23,Monday,62,9,18,374
General Medicine,8,Monday,9,4,3,65
Orthopedics,21,Monday,31,2,3,129
General Medicine,9,Sunday,32,1,2,195
Cardiology,14,Monday,30,3,5,132
Cardiology,4,Thursday,95,7,4,174
Pediatrics,21,Friday,53,2,10,287
Neurology,15,Saturday,25,9,8,149
Cardiology,12,Monday,5,2,2,43
Emergency,21,Monday,96,5,8,234
General Medicine,19,Monday,62,8,11,222
General Medicine,17,Monday,83,8,2,86
Pediatrics,10,Tuesday,59,3,19,393
Orthopedics,8,Tuesday,85,2,16,465
Pediatrics,15,Wednesday,30,9,11,188
Orthopedics,1,Monday,88,3,17,505
Pediatrics,1,Wednesday,29,8,3,87
Pediatrics,11,Thursday,81,2,9,344
Pediatrics,7,Wednesday,37,3,17,327
Orthopedics,8,Friday,93,1,7,576
Orthopedics,11,Tuesday,76,6,8,193
Pediatrics,8,Tuesday,73,7,18,329
Cardiology,9,Monday,10,4,12,198
Neurology,1,Monday,27,1,5,268
Neurology,15,Thursday,34,3,6,148
Neurology,19,Saturday,82,9,5,139
Orthopedics,6,Thursday,58,5,10,219
Orthopedics,1,Friday,91,6,16,402
Cardiology,0,Monday,15,4,18,364
Neurology,18,Monday,35,1,11,343
Neurology,3,Thursday,10,5,12,240
Pediatrics,23,Thursday,15,5,17,325
Orthopedics,21,Thursday,81,5,6,176
Neurology,1,Tuesday,16,6,4,99
General Medicine,13,Wednesday,70,2,15,406
Cardiology,1,Wednesday,57,1,3,405
General Medicine,14,Monday,40,2,0,106
General Medicine,11,Tuesday,21,6,3,83
Cardiology,4,Thursday,32,5,2,87
General Medicine,19,Monday,96,5,3,154
Neurology,6,Tuesday,26,6,0,31
Orthopedics,23,Friday,11,7,11,221
Cardiology,20,Saturday,19,9,12,190
Pediatrics,9,Tuesday,15,7,1,44
General Medicine,13,Sunday,28,2,8,196
Cardiology,13,Monday,71,6,6,164
Emergency,4,Wednesday,34,9,12,257
Emergency,17,Sunday,74,7,1,68
Orthopedics,23,Thursday,70,2,0,222
Neurology,13,Saturday,65,3,17,375
Orthopedics,1,Friday,82,8,6,182
Orthopedics,11,Saturday,45,9,17,289
Orthopedics,21,Saturday,86,4,18,385
Orthopedics,23,Tuesday,55,9,7,170
Pediatrics,5,Monday,48,2,11,360
Pediatrics,3,Monday,99,5,10,313
Cardiology,12,Saturday,17,2,8,173
Emergency,3,Thursday,94,1,3,600
Orthopedics,21,Monday,16,5,6,114
Cardiology,13,Saturday,86,2,16,464
Emergency,15,Monday,13,7,10,173
General Medicine,3,Thursday,89,8,1,86
Neurology,23,Friday,52,2,17,467
Pediatrics,0,Sunday,53,7,11,266
General Medicine,12,Saturday,57,4,8,197
Emergency,3,Wednesday,60,1,10,540
General Medicine,19,Wednesday,44,3,4,139
Neurology,17,Saturday,28,1,6,236
Emergency,5,Tuesday,76,5,0,107
General Medicine,2,Friday,37,8,4,115
Pediatrics,22,Tuesday,27,1,5,258
Pediatrics,12,Sunday,81,9,12,233
Cardiology,15,Wednesday,58,3,10,259
General Medicine,4,Thursday,57,5,7,209
Orthopedics,3,Saturday,53,9,19,383
General Medicine,20,Sunday,82,5,1,102
Emergency,7,Monday,82,9,14,276
Emergency,18,Wednesday,84,8,9,196
General Medicine,13,Friday,53,7,7,160
Neurology,6,Wednesday,64,1,1,346
Pediatrics,13,Friday,94,4,14,342
Emergency,5,Friday,94,9,5,168
Pediatrics,11,Saturday,69,8,4,113
Emergency,15,Friday,36,4,2,85
Cardiology,16,Tuesday,83,1,10,568
Orthopedics,12,Sunday,25,4,10,190
Emergency,22,Thursday,22,3,15,322
Pediatrics,13,Wednesday,98,6,2,120
Cardiology,6,Thursday,64,5,8,192
Emergency,13,Sunday,17,5,2,57
Neurology,14,Monday,28,2,18,353
Orthopedics,11,Sunday,34,3,10,215
Emergency,16,Wednesday,6,6,13,214
Cardiology,8,Thursday,87,2,1,240
Neurology,21,Thursday,29,4,6,136
General Medicine,14,Saturday,54,2,9,292
Cardiology,11,Saturday,18,9,9,148
Cardiology,1,Sunday,10,3,19,371
Neurology,4,Sunday,80,6,0,81
Cardiology,12,Monday,88,1,5,526
Neurology,19,Friday,91,3,13,356
Emergency,22,Wednesday,34,8,1,56
Neurology,7,Saturday,34,5,5,114
Neurology,13,Wednesday,42,8,0,32
Orthopedics,14,Monday,62,2,2,195
Neurology,10,Saturday,98,7,3,117
Neurology,0,Saturday,45,9,12,263
General Medicine,20,Friday,98,7,2,103
Emergency,2,Wednesday,61,3,14,385
Orthopedics,16,Wednesday,40,7,12,216
General Medicine,18,Wednesday,68,8,10,199
Pediatrics,13,Friday,20,1,3,146
Emergency,21,Saturday,92,3,16,403
Emergency,22,Monday,82,5,4,175
Pediatrics,7,Wednesday,94,6,7,194
Neurology,12,Thursday,76,3,9,267
General Medicine,19,Friday,18,4,6,122
Cardiology,2,Tuesday,35,5,16,331
Orthopedics,4,Monday,70,3,6,265
Cardiology,8,Thursday,72,4,18,375
Pediatrics,5,Wednesday,69,5,8,235
Emergency,21,Tuesday,59,2,1,186
Emergency,1,Monday,88,9,19,417
Orthopedics,12,Friday,82,8,18,329
Emergency,4,Tuesday,44,6,5,143
Emergency,7,Saturday,29,3,9,189
Orthopedics,22,Sunday,29,2,12,311
General Medicine,0,Tuesday,7,7,1,35
General Medicine,19,Sunday,73,8,9,190
Orthopedics,11,Thursday,30,1,9,287
Pediatrics,22,Monday,44,6,4,136
Emergency,10,Thursday,42,7,3,88
Emergency,6,Thursday,42,9,1,57
Pediatrics,14,Wednesday,72,3,6,221
General Medicine,21,Friday,11,2,17,297
Neurology,23,Tuesday,98,5,16,410
Neurology,10,Monday,34,1,10,333
Neurology,21,Saturday,23,6,17,275
General Medicine,15,Friday,39,9,7,131
General Medicine,2,Friday,37,9,11,249
Pediatrics,19,Monday,37,7,0,34
Emergency,13,Friday,82,7,19,353
Pediatrics,2,Wednesday,42,8,11,245
Pediatrics,0,Friday,14,2,5,143
General Medicine,20,Wednesday,61,6,2,85
Neurology,14,Tuesday,32,5,4,97
Cardiology,0,Tuesday,82,5,13,349
Emergency,16,Thursday,42,3,11,246
General Medicine,1,Wednesday,20,3,12,273
Neurology,19,Saturday,25,6,12,213
Cardiology,5,Tuesday,96,7,16,382
Cardiology,7,Friday,10,1,14,270
General Medicine,15,Monday,45,3,5,160
Orthopedics,18,Monday,19,1,11,268
Emergency,0,Sunday,7,3,1,41
Cardiology,2,Wednesday,47,5,3,125
General Medicine,2,Saturday,51,9,19,396
General Medicine,4,Thursday,18,3,11,235
Neurology,11,Friday,70,9,2,90
Orthopedics,11,Wednesday,33,1,16,418
Emergency,19,Sunday,8,6,5,93
Pediatrics,12,Monday,30,9,16,261
Neurology,19,Wednesday,16,5,16,262
Cardiology,8,Friday,6,2,10,178
Cardiology,6,Saturday,21,5,6,122
Neurology,3,Saturday,39,1,1,256
General Medicine,18,Tuesday,14,9,18,283
Cardiology,21,Friday,90,9,1,71
Orthopedics,18,Sunday,47,6,12,225
Emergency,5,Tuesday,25,9,15,300
Orthopedics,12,Tuesday,19,3,16,276
Cardiology,10,Tuesday,39,4,10,212
Pediatrics,12,Wednesday,89,6,8,196
Emergency,12,Sunday,89,4,8,246
Emergency,21,Monday,89,1,13,600
Neurology,19,Saturday,64,7,12,239
Neurology,14,Wednesday,48,5,10,205
Pediatrics,20,Monday,9,8,11,178
